declaracion.situacionPatrimonial.datosGenerales.curp,declaracion.situacionPatrimonial.ingresos.totalIngresosAnualesNetos.valor
CÓGP760116HAGRVT08,506688
CÓGP760116HAGRVT08,105560
CÓGP760116HAGRVT08,506688
CÓGP760116HAGRVT08,
CÓGP760116HAGRVT08,506688
CÓGP760116HAGRVT08,
CÓGP760116HAGRVT08,506688
CÓGP760116HAGRVT08,506688
CASC850118HVZRLR03,1706330
CASC850118HVZRLR03,6171372
CASC850118HVZRLR03,5954016
CASC850118HVZRLR03,6281724
CASC850118HVZRLR03,6430032
FOOF890119MAGNZL09,1408005
FOOF890119MAGNZL09,
CASC850118HVZRLR03,
CASC850118HVZRLR03,6176832
CASC850118HVZRLR03,
FOOF890119MAGNZL09,5734092
FOOF890119MAGNZL09,5689488
FOOF890119MAGNZL09,4882944
FOOF890119MAGNZL09,5723940
GÁAR710006HVZLCS05,
FOOF890119MAGNZL09,5259420
FOOF890119MAGNZL09,
GÁAR710006HVZLCS05,1910400
GÁAR710006HVZLCS05,5599536
GÁAR710006HVZLCS05,5142540
GÁAR710006HVZLCS05,5504112
GÁAR710006HVZLCS05,5423952
ARLJ811124HAGGBN09,
GÁAR710006HVZLCS05,5362404
ARLJ811124HAGGBN09,1653535
GÁAR710006HVZLCS05,
ARLJ811124HAGGBN09,5545020
ARLJ811124HAGGBN09,4996212
ARLJ811124HAGGBN09,4655472
ARLJ811124HAGGBN09,5143092
ARLJ811124HAGGBN09,5124396
NAKG810014MSNVNR04,
NAKG810014MSNVNR04,283930
NAKG810014MSNVNR04,1128588
ARLJ811124HAGGBN09,
NAKG810014MSNVNR04,1102980
NAKG810014MSNVNR04,1155000
NAKG810014MSNVNR04,1069728
NAKG810014MSNVNR04,1193100
GUKS780803MPURZL03,1318195
GUKS780803MPURZL03,
GUKS780803MPURZL03,4203684
GUKS780803MPURZL03,4894488
GUKS780803MPURZL03,4434648
NAKG810014MSNVNR04,
GIRE730008MAGLVL03,
GUKS780803MPURZL03,4111056
GUKS780803MPURZL03,4785852
GIRE730008MAGLVL03,105560
GIRE730008MAGLVL03,506688
GIRE730008MAGLVL03,506688
GIRE730008MAGLVL03,506688
GUKS780803MPURZL03,
GIRE730008MAGLVL03,506688
GIRE730008MAGLVL03,506688
QUAE720310MVZÑGM05,
GIRE730008MAGLVL03,
QUAE720310MVZÑGM05,608904
QUAE720310MVZÑGM05,126855
QUAE720310MVZÑGM05,608904
QUAE720310MVZÑGM05,608904
QUAE720310MVZÑGM05,
HEVG710909HAGNRD07,1555404
QUAE720310MVZÑGM05,608904
HEVG710909HAGNRD07,410030
QUAE720310MVZÑGM05,608904
HEVG710909HAGNRD07,1472988
HEVG710909HAGNRD07,1763112
HEVG710909HAGNRD07,1770456
HEVG710909HAGNRD07,
SAJI870801HPURSS04,
SAJI870801HPURSS04,291015
HEVG710909HAGNRD07,
HEVG710909HAGNRD07,1498344
SAJI870801HPURSS04,1269780
SAJI870801HPURSS04,1346268
SAJI870801HPURSS04,1338612
SAJI870801HPURSS04,1321560
SAJI870801HPURSS04,1146648
ARCP700712MAGRRT09,242035
ARCP700712MAGRRT09,1250712
SAJI870801HPURSS04,
ARCP700712MAGRRT09,
ARCP700712MAGRRT09,1324536
ARCP700712MAGRRT09,1256184
ARCP700712MAGRRT09,1319700
ARCP700712MAGRRT09,
ARCP700712MAGRRT09,1142268
MOAG740524MPUNNS05,
MOAG740524MPUNNS05,4920432
MOAG740524MPUNNS05,5596092
MOAG740524MPUNNS05,5498832
MOAG740524MPUNNS05,1500855
ARTM740414HDFNJR02,105560
ARTM740414HDFNJR02,
MOAG740524MPUNNS05,5375808
MOAG740524MPUNNS05,5465940
ARTM740414HDFNJR02,506688
ARTM740414HDFNJR02,506688
ARTM740414HDFNJR02,506688
ARTM740414HDFNJR02,
MOAG740524MPUNNS05,
ARTM740414HDFNJR02,506688
MOOJ750818MDFRNQ08,
MOOJ750818MDFRNQ08,608904
MOOJ750818MDFRNQ08,608904
MOOJ750818MDFRNQ08,126855
ARTM740414HDFNJR02,506688
MOOJ750818MDFRNQ08,608904
MOOJ750818MDFRNQ08,608904
MOOJ750818MDFRNQ08,
MOOJ750818MDFRNQ08,608904
MOMA700514HDFJTF06,
MOMA700514HDFJTF06,1810945
MOMA700514HDFJTF06,6034140
MOMA700514HDFJTF06,5194584
MOMA700514HDFJTF06,6075852
MOMA700514HDFJTF06,5962932
KAVS730424MPUNCR02,105560
MOMA700514HDFJTF06,5954100
KAVS730424MPUNCR02,
MOMA700514HDFJTF06,
KAVS730424MPUNCR02,506688
KAVS730424MPUNCR02,506688
KAVS730424MPUNCR02,506688
KAVS730424MPUNCR02,
VIAR720106HPULDN04,
KAVS730424MPUNCR02,506688
VIAR720106HPULDN04,1408020
KAVS730424MPUNCR02,506688
VIAR720106HPULDN04,3967080
VIAR720106HPULDN04,3802896
VIAR720106HPULDN04,5213016
ELGG810908MDFZNR02,
VIAR720106HPULDN04,4985844
VIAR720106HPULDN04,
ELGG810908MDFZNR02,313825
ELGG810908MDFZNR02,1251780
VIAR720106HPULDN04,5116032
ELGG810908MDFZNR02,1204080
ELGG810908MDFZNR02,1093548
